,Unnamed: 0,고유번호,법정동코드,지목,토지면적,geometry,주소,공시지가,위도,경도,pixel_polygon
58,58,4427031022103950002,4427031022,전,598.0,"POLYGON ((165949.84775654948 482768.32562646765, 165951.2607724775 482766.5846618546, 165951.989851652 482761.08871598693, 165955.58795687684 482752.4658387924, 165957.42198200437 482749.9178869755, 165962.09897012505 482748.34197145246, 165959.27205137373 482744.49495783506, 165949.87626025622 482735.6718816576, 165937.49723912586 482743.24963148846, 165934.0572317234 482745.45456119365, 165930.78793523696 482766.3063480583, 165938.8539147777 482763.5864937657, 165949.84775654948 482768.32562646765))",충청남도 당진시 고대면 슬항리 395-2,44900,36.942993,126.6177037,"POLYGON ((273.8130193128604 196.53566764047173, 280.00627569238793 204.13667189472858, 283.28223370651307 228.197362457556, 299.12598343475327 265.9043411296332, 307.16954328456615 277.03274498811004, 327.59554056231264 283.8534930032033, 315.33333921921206 300.75392525213147, 274.5083991850479 339.5660125200334, 220.3854470106977 306.5912007006673, 205.34346278281146 296.9935501890689, 190.71973015778482 205.7154237655087, 225.94673955653508 217.4872733497553, 273.8130193128604 196.53566764047173))"
59,59,4476044022108060003,4476044022,전,352.0,"POLYGON ((197843.65270965543 402906.88296797755, 197843.70068512802 402908.47795765544, 197827.6305376799 402925.47259607824, 197847.7601910512 402939.20580636046, 197845.96730255842 402932.6678244553, 197845.25539174062 402927.1118521451, 197847.76753873494 402916.285965267, 197853.60275426213 402899.43817053246, 197843.65270965543 402906.88296797755))",충청남도 부여군 석성면 봉정리 806-3,13700,36.2241675,126.9760019,"POLYGON ((261.55101187506784 308.14507239518736, 261.75854649993335 301.15760216665535, 191.64660153963717 226.7240389685101, 279.43188085310476 166.53896593165285, 271.6188236364295 195.18285439363123, 268.5196500985577 219.5235325159257, 279.4886119607005 266.94745158646265, 304.9583010672727 340.7488916582481, 261.55101187506784 308.14507239518736))"
60,60,4481039033102390001,4481039033,답,3240.0,"POLYGON ((183602.02732913994 457002.2766363564, 183596.85260522144 456986.84767192404, 183596.73162359 456985.7136785363, 183588.60764530816 456988.21253467794, 183559.826086212 456973.44320156716, 183556.3590977516 456974.3621412775, 183554.86007977632 456976.2501040715, 183621.00187716313 457087.3822926987, 183635.39157862356 457034.9349064145, 183629.60468874619 457030.57184984797, 183634.3927161964 457026.4869541572, 183616.4280265263 457014.9887632601, 183605.69423869427 457006.3826621766, 183602.02732913994 457002.2766363564))",충청남도 예산군 신암면 탄중리 239-1,15500,36.7115234,126.8165166,"POLYGON ((237.31381222129858 311.6541234522423, 214.8727548567577 379.2837160378174, 214.3545589360572 384.2521599668162, 178.90038466788303 373.37416698934646, 53.49127546758268 438.31267553741, 38.36209400063527 434.3164423460163, 31.808220380617968 426.05887917613325, 319.36279174969 -61.30804997964168, 382.5623546221491 168.31584365931985, 357.3586706598863 187.4765500063097, 378.2761393887638 205.3302410137547, 300.0174866375926 255.84824106623336, 253.2730355239059 293.6370291259339, 237.31381222129858 311.6541234522423))"
61,61,4427038032101990000,4427038032,전,219.0,"POLYGON ((182150.56505110575 479178.9613055863, 182151.30008110462 479176.67133456486, 182152.26521904522 479167.32342122414, 182134.38523876795 479174.80308598373, 182122.32332286108 479175.29389474925, 182112.27645034983 479172.0067637915, 182115.61537906702 479174.9597930497, 182119.2173152311 479177.30483105726, 182123.81925883374 479178.68189202604, 182128.59321988752 479178.85196492396, 182136.30212585902 479181.13006727875, 182147.42405455332 479180.27624668897, 182150.56505110575 479178.9613055863))",충청남도 당진시 신평면 매산리 199,63200,36.9111694,126.7995526,"POLYGON ((314.69067283360033 232.3259054353816, 317.917499131125 242.34995701287136, 322.2125707127806 283.28795562238, 244.16000026770718 250.68911401382726, 191.5470816403208 248.65027984372145, 147.75750140681885 263.1415417693871, 162.29324249535142 250.17555230254328, 177.98168642359337 239.87034312530753, 198.04058189720644 233.79598127642663, 218.86080997963234 233.00704309971897, 252.46257896778107 222.95725299175106, 300.97906960364793 226.59492859089465, 314.69067283360033 232.3259054353816))"
62,62,4471038029101230001,4471038029,전,856.0,"POLYGON ((234420.14954102985 406926.5336239658, 234427.09667394366 406914.9748094229, 234432.7378325902 406902.3179820081, 234438.2069954659 406889.4621532642, 234439.40606450292 406884.49420526496, 234423.5581587596 406885.2279545723, 234423.94803928304 406892.76590993325, 234421.3849341759 406900.6468171939, 234398.90008382147 406900.6614684211, 234394.4721125493 406900.7123994139, 234394.6690781313 406902.8473881119, 234399.29997280962 406907.64942763327, 234406.15875935648 406918.4674612464, 234408.31669102894 406921.9464713151, 234415.53852847635 406929.3255336862, 234420.14954102985 406926.5336239658))",충청남도 금산군 복수면 지량리 123-1,53300,36.2594557,127.383006,"POLYGON ((257.7699969533033 149.68316971164836, 287.87145548936 200.4395647810134, 312.2577303077199 255.98345472653253, 335.8903222607103 312.3961516747813, 341.0344783676992 334.1801751479902, 271.9247560950479 330.691239157311, 273.75526566100984 297.676236750548, 262.71189904712617 263.1077045202202, 164.64182842774198 262.65419295668056, 145.3295873324727 262.3544369752822, 146.22546576298686 253.0050342459154, 166.50642322994736 232.04874398542566, 196.60833105104405 184.7765833409108, 206.08039759291302 169.57333793218027, 237.70660261833962 137.37270550655, 257.7699969533033 149.68316971164836))"
63,63,4415040023105720000,4415040023,답,565.0,"POLYGON ((191122.84909286126 437964.3115947616, 191126.62601655434 437967.51062947937, 191127.2780996312 437961.79068104934, 191128.06215133856 437958.0527202415, 191124.01936221938 437946.20874425466, 191119.2636871949 437927.2638089217, 191115.21089596124 437915.56183174846, 191111.86800866478 437909.78682240576, 191104.24208366813 437908.47971487604, 191098.76412031866 437908.663629474, 191100.54006693352 437911.30863751005, 191102.27600777824 437914.34864206205, 191103.7578823378 437921.827610465, 191106.59674259485 437929.60159754497, 191110.82457930312 437938.25759953546, 191114.51944678577 437945.15860609326, 191116.92744189443 437944.34664894897, 191120.5262833811 437952.9866414018, 191122.84909286126 437964.3115947616))",충청남도 공주시 신풍면 조평리 572,14000,36.5396535,126.9007833,"POLYGON ((287.470246017932 111.5711303105048, 303.9295276957701 97.54034547798864, 306.79938031750544 122.59430443279635, 310.2359303416557 138.9653409192607, 292.65588983553346 190.8674956097854, 271.99846243099717 273.87945857952866, 254.3742728948481 325.15963622649133, 239.81980414169198 350.4728403232094, 206.56422316878954 356.23324817183266, 182.67054682237784 355.45236848801244, 190.40465433187265 343.8575666686966, 197.9624972388546 330.532619071703, 204.39221352356407 297.76342270717817, 216.73929639621556 263.6957287112023, 235.14065440333218 225.75799293686077, 251.22531746975818 195.51063604938068, 261.73179598184555 199.05663364149189, 277.38984413616697 161.191891473008, 287.470246017932 111.5711303105048))"
64,64,4415036035102760001,4415036035,전,1206.0,"POLYGON ((215851.7783538746 443651.1541066875, 215813.3626265943 443651.13750793535, 215815.54542442464 443663.1144562994, 215818.92321717367 443674.8734248492, 215832.19200905363 443682.18757938815, 215837.6987860766 443693.98658084305, 215844.43775514542 443692.904693639, 215854.8597359823 443689.3918812372, 215850.06787604457 443682.5868552057, 215851.013095374 443668.08597365784, 215851.6303413637 443652.0240981574, 215851.7783538746 443651.1541066875))",충청남도 공주시 의당면 도신리 276-1,21700,36.5912789,127.176959,"POLYGON ((327.5864411005141 339.52910353044, 160.0320890534623 339.2920498191714, 169.64864568875268 286.84383675537225, 184.47559083694887 235.36012906397664, 242.4076983894999 203.4269517191761, 266.52093169386956 151.7850798656745, 295.9051046997742 156.57872579394677, 341.33364272683406 172.05095521972603, 320.3786549181568 201.8221200030639, 324.3847842557485 265.3517932631516, 326.9478622741015 335.71685494774795, 327.5864411005141 339.52910353044))"
65,65,4420025022103020003,4420025022,답,1296.0,"POLYGON ((194283.57278289995 470049.89440236276, 194301.91353565504 470056.99263485125, 194319.56019847543 470070.194810681, 194317.5432680529 470066.69380554475, 194301.1485875234 470054.02964518673, 194290.5438376613 470043.04656242824, 194281.6731700292 470025.95655256155, 194269.213419713 470015.88943402085, 194254.92858637415 470012.0232404684, 194232.13471076486 470014.938863391, 194237.03454944363 470022.94987956784, 194241.74141381768 470029.40390443505, 194244.21137054727 470030.999930935, 194247.32037424497 470029.27599232673, 194251.02929976204 470032.2830275362, 194262.48106341413 470041.97613317624, 194283.57278289995 470049.89440236276))",충청남도 아산시 염치읍 강청리 302-3,30500,36.8289747,126.9357304,"POLYGON ((330.56088416384097 191.46242525763677, 410.5348909656741 160.31550506716889, 487.4639607982248 102.43302693895097, 478.67710857660256 117.77474093710723, 407.20714126397047 173.29684517095092, 360.98570857272364 221.43829350719602, 322.34558291575956 296.32553308551877, 268.0310236640765 340.46025280206504, 205.73816329112594 357.4378608691061, 106.3126495195016 344.73364872486525, 127.6599950546775 309.6276236367856, 148.17029517505622 281.3424379439986, 158.9384888832211 274.3438873723705, 172.50370549450457 281.8862503041611, 188.67160616043165 268.70325473493676, 238.5908609124308 226.20971914628535, 330.56088416384097 191.46242525763677))"
66,66,4476044023103810002,4476044023,전,1577.0,"POLYGON ((200985.10615615596 403828.3683064249, 200989.29709909757 403830.2313572642, 200993.299062295 403830.84741385834, 200998.76908995459 403826.56152667315, 201011.21797464974 403828.5317023436, 201011.43509520468 403820.50476115313, 201002.1621590249 403820.48862026224, 200997.75323430367 403817.52557371155, 200999.2303417769 403809.7906496596, 201008.92931707558 403807.0418161475, 201012.27418616513 403814.14381789847, 201014.09830964287 403805.1999074827, 201006.63452196014 403794.60086728114, 201000.64066691234 403787.7698233799, 200985.37788276662 403780.45464188757, 200980.61789673078 403781.68256101874, 200977.73180268795 403789.16946536175, 200977.8095240376 403807.46234004595, 200974.7834575137 403813.2022543377, 200966.1795196699 403812.9941249535, 200962.17048272348 403817.232034685, 200959.04845205817 403820.65696353116, 200961.25537468324 403824.75096877635, 200965.72721786122 403833.04897938715, 200982.17319607866 403827.06527083763, 200985.10615615596 403828.3683064249))",충청남도 부여군 석성면 비당리 381-2,9840,36.232181,127.0109838,"POLYGON ((245.879278794863 165.8003747285544, 264.1599759107438 157.64071010628766, 281.615781322276 154.94385348321376, 305.47244637464826 173.72241718328314, 359.7721448497125 165.0976643772775, 360.7151032435661 200.2625925940287, 320.2690588755616 200.32861014234908, 301.0370436089881 213.30705367065968, 307.4759157271911 247.19333049751197, 349.778779148439 259.2404511401085, 364.3717679559941 228.1293520464936, 372.3235551040538 267.31220361708296, 339.76325168996516 313.7412097663699, 313.6163357917182 343.6639594998026, 247.0408471662301 375.7030485196874, 226.27977526089148 370.32136761345225, 213.69513452106497 337.52094710525995, 214.0430853433457 257.3826590195395, 200.8470228781758 232.23547510863872, 163.31890689936102 233.14306096863578, 145.83462940126796 214.57547460927165, 132.21882626697678 199.56987046881125, 141.84679497043936 181.63571655006518, 161.35578430564675 145.28555063540375, 233.08584913754405 171.50732664235935, 245.879278794863 165.8003747285544))"
67,67,4423038025103790001,4423038025,전,527.0,"POLYGON ((224154.39834451137 398282.80825471145, 224145.0203241287 398288.2000743976, 224143.23531833186 398289.3510392379, 224148.63724408817 398291.8421055048, 224154.81917933817 398293.37719017745, 224158.64113627982 398294.5232412016, 224165.47897813268 398301.8532970242, 224164.2319390584 398304.93725714704, 224164.9518881312 398307.94024803594, 224171.5268943493 398304.6853709235, 224180.61490737324 398299.898542722, 224174.38118911785 398284.26155198365, 224171.78430255124 398278.0035541195, 224154.39834451137 398282.80825471145))",충청남도 논산시 벌곡면 검천리 379-1,16300,36.1822083,127.2686334,"POLYGON ((208.87711111790446 313.8952556194966, 168.03822284304152 290.1609252626081, 160.26647583175793 285.0971092675123, 183.85802105931117 274.24960265327485, 210.84019981187265 267.5995650881945, 227.52420701191815 262.6252297130565, 257.4372232783921 230.59634913874163, 252.03525631425117 217.07089949917685, 255.2117063935741 203.92401398870808, 283.85055830486823 218.26283961831695, 323.4318374647636 239.34340588949303, 296.0534440798288 307.77089566930965, 284.6510813521414 335.15466911258187, 208.87711111790446 313.8952556194966))"
68,68,4420025031103910014,4420025031,전,521.0,"POLYGON ((200893.002153387 468228.339164751, 200887.67774486123 468193.0003449282, 200875.63092056362 468187.4541980295, 200875.72879658738 468195.3431407672, 200875.82555360207 468210.85002670845, 200875.90831068912 468226.35891241446, 200881.20929829398 468224.6440080248, 200885.81919142604 468229.30304533284, 200893.002153387 468228.339164751))",충청남도 아산시 염치읍 방현리 391-14,58300,36.8125517,127.0099132,"POLYGON ((292.86479820446556 179.00065625307883, 269.62587531395695 333.79716570516706, 217.08030174496645 358.08617742615195, 217.51072635512458 323.52932220091645, 217.93968177905373 255.6026608079712, 218.30757775008055 187.66723491545795, 241.4275345292557 195.1816306671398, 261.5360994497873 174.77517276212305, 292.86479820446556 179.00065625307883))"
69,69,4420010900101090004,4420010900,전,450.0,"POLYGON ((202269.40281764205 461706.34705305716, 202279.42385526933 461699.2232619729, 202289.70287318854 461693.24246646324, 202303.14177034958 461693.5206739765, 202318.57060610646 461696.80189033283, 202329.28751882308 461697.3620533175, 202331.65156143595 461693.5181185922, 202324.02468296557 461689.3090307528, 202323.35769359372 461688.94102307427, 202310.04484497974 461685.4898409698, 202303.35990133675 461685.01774021366, 202298.6319170119 461686.23465749074, 202291.56091961317 461689.39152389544, 202278.6609153582 461695.72827590257, 202263.0419463136 461701.0849927523, 202258.2489757398 461701.45091530686, 202256.4799396685 461704.5958644772, 202269.40281764205 461706.34705305716))",충청남도 아산시 좌부동 109-4,80400,36.7538375,127.025971,"POLYGON ((39.022803487735814 207.5665253467607, 82.72228500687828 238.7837187515129, 127.54823381543773 264.9944144326426, 186.16357385525922 263.7915467531534, 253.4617740856117 249.4365593353594, 300.2052811453505 246.99554429408366, 310.51170823325225 263.8365880416555, 277.2413700983256 282.26525422291763, 274.33179846197993 283.8765049524605, 216.26252048152682 298.97848677641997, 187.1049821932853 301.0386077353001, 166.48488086010042 295.7023707486176, 135.64777647323098 281.8655139035498, 79.39058612809634 254.0924919010196, 11.27314820228429 230.60941076662283, -9.631441226058769 229.00094886363556, -17.343645816301887 215.22256353675593, 39.022803487735814 207.5665253467607))"
70,70,4477041027102410003,4477041027,전,371.0,"POLYGON ((161223.91435463002 394838.6675501431, 161217.3304496951 394835.3794759818, 161208.56851340912 394835.24334717117, 161195.74730672105 394855.29601486056, 161194.3992861201 394857.3279804627, 161197.9842053203 394861.0790069189, 161201.24513234003 394864.4560312324, 161223.91435463002 394838.6675501431))",충청남도 서천군 서면 월호리 241-3,18500,36.1506579,126.5689492,"POLYGON ((322.03220430647167 295.6756349388006, 293.3793835289387 310.20794865566785, 255.1658452802553 310.9746347901622, 198.85640963530335 223.37753386050315, 192.93750413475712 214.5021485274597, 208.50094139390322 197.99998696762313, 222.65850008871243 183.14255503974937, 322.03220430647167 295.6756349388006))"
71,71,4477031034103140005,4477031034,전,876.0,"POLYGON ((175535.3170018844 382834.7368851226, 175538.39298247432 382834.6259315761, 175549.54782387477 382840.16305901925, 175547.54427890648 382810.4472344554, 175549.13730683978 382807.8322761711, 175560.77822175404 382808.19544656, 175559.08129614833 382803.9684505447, 175555.16751043577 382791.34347958886, 175539.15253992192 382796.7402044637, 175526.43556334643 382801.0249860011, 175534.89800478343 382834.7348789136, 175535.3170018844 382834.7368851226))",충청남도 서천군 마서면 신포리 314-5,13600,36.0426785,126.7285949,"POLYGON ((225.38596250745954 166.62043257444782, 238.80390850926858 167.06894576612092, 287.39102056539355 142.67493309794543, 279.01326671350756 272.8826009138295, 285.99338595896944 284.31912686724263, 336.7633480234689 282.5860334529546, 329.4131901561705 301.1249503040867, 312.4957703782732 356.4819382099124, 242.5775221516101 333.03472418369444, 187.05762118592259 314.41869649193325, 223.55843466377527 166.63433930337862, 225.38596250745954 166.62043257444782))"
