,고유번호,법정동코드,지목,토지면적,geometry,주소,공시지가,위도,경도
10,4421032028108400005,4421032028,답,476.0,"POLYGON ((144188.5364499551 453429.12730781315, 144191.10531048098 453437.08528518456, 144196.2040959503 453448.74327214755, 144199.39009561785 453447.148332416, 144216.7460938484 453438.4566607656, 144209.2154019152 453421.82167552056, 144194.93544703687 453426.0734277094, 144188.5364499551 453429.12730781315))",충청남도 서산시 부석면 봉락리 840-5,18300,36.6777502,126.3757533
11,4423010400104910041,4423010400,답,1332.0,"POLYGON ((206538.11158867145 399995.61517710076, 206539.78358567803 399995.066206318, 206518.7611855355 399965.0400917867, 206513.08019146798 399967.18299060885, 206502.31418475098 399972.4237907932, 206490.43816506374 399979.01156485314, 206486.5941473424 399981.88948661403, 206512.2194853303 400013.94565732405, 206520.5455253707 400007.6038275301, 206527.8285595821 400002.1099760486, 206538.11158867145 399995.61517710076))",충청남도 논산시 부창동 491-41,25300,36.1977612,127.0724263
12,4423025324102290004,4423025324,답,1806.0,"POLYGON ((210869.76394888293 392599.5714147943, 210862.55326496923 392581.96942399663, 210821.84538451652 392592.0317366269, 210813.96039471542 392594.83259773126, 210788.3474126599 392604.9291398101, 210798.12898352943 392628.8301271483, 210869.76394888293 392599.5714147943))",충청남도 논산시 연무읍 동산리 229-4,21800,36.131158,127.1202802
13,4423025326104160008,4423025326,답,2828.0,"POLYGON ((211098.5697039729 390016.14931788883, 211002.83823252493 390023.4118138284, 211004.86176974297 390052.97264554276, 211101.09323889264 390045.6401576933, 211098.5697039729 390016.14931788883))",충청남도 논산시 연무읍 소룡리 416-8,13900,36.1079776,127.1227302
14,4423025329101780000,4423025329,전,463.0,"POLYGON ((211597.40790420843 386492.621560144, 211594.50496532215 386489.86553453596, 211588.69590548734 386496.34840291145, 211591.0947605112 386504.8493823782, 211589.22173756326 386507.18033832405, 211584.6177635117 386507.48526638374, 211590.23065293167 386512.31431924715, 211597.6396130933 386511.6974358607, 211602.94963098757 386508.1955399415, 211607.7116536771 386504.61763620924, 211622.5776076104 386501.1488851483, 211618.46074478183 386493.9138711125, 211605.70086092927 386491.84469125397, 211597.40790420843 386492.621560144))",충청남도 논산시 연무읍 고내리 178,11500,36.0761595,127.1288277
15,4423025330114000001,4423025330,답,3357.0,"POLYGON ((209249.55966286449 389383.28749261226, 209127.07127966857 389396.56554367964, 209125.03426471388 389398.4475000686, 209125.42511995597 389407.81244288303, 209125.94794682946 389418.9883754886, 209128.06088717582 389421.9883873424, 209138.24079719232 389423.43553212157, 209175.01554030128 389424.17208541883, 209180.64351609926 389423.28917680716, 209201.47445296467 389418.2795268019, 209223.61340344057 389411.7979065771, 209236.30540815563 389405.90113899636, 209240.52044470166 389401.6382317151, 209249.97162807113 389385.3984846402, 209249.55966286449 389383.28749261226))",충청남도 논산시 연무읍 황화정리 1400-1,14200,36.1023274,127.1020228
16,4423031026103570007,4423031026,전,233.0,"POLYGON ((203306.1589165707 401287.7331258275, 203307.69080755278 401294.21510453924, 203312.76461050895 401304.8971082255, 203318.436639606 401300.4402251459, 203322.8198740831 401283.0554113961, 203321.08294871903 401278.92641338095, 203317.04792314858 401282.4173280017, 203306.1589165707 401287.7331258275))",충청남도 논산시 성동면 원남리 357-7,19700,36.2095348,127.0369207
17,4423031026108530001,4423031026,답,2140.0,"POLYGON ((203530.93343759677 401875.88849816297, 203543.72098014163 401900.22352523723, 203613.52242440303 401839.71600365004, 203579.27976391042 401832.75553055876, 203530.93343759677 401875.88849816297))",충청남도 논산시 성동면 원남리 853-1,15600,36.2146549,127.0397185
18,4423031028102550007,4423031028,답,545.0,"POLYGON ((204845.6204086316 402208.5262205956, 204852.71384056896 402176.9815455224, 204844.6988991394 402176.7234252488, 204837.47894401895 402177.0083133504, 204833.21394188414 402179.05823431176, 204829.6606454893 402200.11603540136, 204829.01657660044 402204.9289924968, 204845.6204086316 402208.5262205956))",충청남도 논산시 성동면 정지리 255-7,17800,36.2176503,127.0539583
19,4423032028102520003,4423032028,답,3134.0,"POLYGON ((208997.3779577118 405168.68920213263, 208994.2471642086 405156.57123758865, 208993.07619364263 405155.16722934775, 208995.05929930968 405147.3673132721, 208995.70540156186 405140.3873711274, 208995.73782312285 405112.78356137, 208996.4978887476 405108.1496048388, 208983.8908611988 405115.5753611416, 208980.29492836446 405112.7833253837, 208975.08692622694 405115.24622886686, 208969.4109123492 405118.6861184836, 208967.6968840421 405121.3030743025, 208969.39380524828 405125.70306998683, 208968.68777447473 405128.0320431879, 208965.19276999636 405129.8839770497, 208963.91974709064 405131.9509433871, 208960.03673271352 405134.6238656767, 208956.96474660677 405135.0848155616, 208954.97979455697 405132.83180071745, 208952.10776106504 405136.3047329564, 208947.20378491006 405136.93165370624, 208947.27372452122 405140.8526278219, 208950.4626965698 405141.25967375346, 208951.7235996 405147.0436532621, 208948.42358981993 405149.1555883108, 208948.74355981615 405150.97658068733, 208944.17556130775 405152.916497543, 208946.2585040237 405155.73650998867, 208949.42638856996 405161.87951616605, 208949.8062975886 405167.66448220296, 208947.19523997893 405172.5994083774, 208947.75815742326 405177.7513815613, 208952.18702551778 405184.40840347426, 208952.2749682014 405188.1203793, 208974.3497505409 405192.5186864019, 208984.7956943166 405191.53885277174, 208991.29983267584 405179.5830343594, 208998.8558933476 405172.24220029474, 208997.3779577118 405168.68920213263))",충청남도 논산시 광석면 천동리 252-3,14200,36.2442773,127.0998536
20,4423034027102670003,4423034027,답,590.0,"POLYGON ((216618.452482561 410878.8838027535, 216612.5425510572 410877.04872445064, 216583.62428539165 410972.1456259585, 216589.3152193203 410973.9197013087, 216618.452482561 410878.8838027535))",충청남도 논산시 상월면 대명리 267-3,18100,36.2961865,127.1847939
21,4423035021100090015,4423035021,전,261.0,"POLYGON ((212393.58179499445 401773.0053703602, 212397.01173624862 401775.3304069331, 212404.9782512113 401803.5343362747, 212414.0053466648 401793.2955441518, 212413.9254324912 401787.7165809997, 212401.0877295112 401773.96747854823, 212393.58179499445 401773.0053703602))",충청남도 논산시 부적면 마구평리 9-15,36600,36.2139228,127.1379486
