,고유번호,법정동코드,지목,토지면적,geometry,주소,공시지가
10,4413131026102460000,4413131026,답,440.0,"POLYGON ((207881.6386488911 459923.9187952884, 207864.16590650816 459915.571583472, 207860.3149518396 459914.46453140926, 207855.60800260122 459913.4084655938, 207857.76395254437 459915.6074831537, 207860.42883446568 459921.92247845675, 207863.60366360244 459931.37745868333, 207869.89249105888 459939.4894974367, 207875.41437812138 459944.144549574, 207874.9513268115 459947.64351665764, 207876.6142830466 459949.6695277809, 207879.24228509108 459948.3145787963, 207882.11131809017 459944.86664894107, 207883.0684224233 459937.7447161694, 207881.831489245 459934.04472399043, 207879.0125556162 459931.11070146447, 207881.6386488911 459923.9187952884))",충청남도 천안시 동남구 풍세면 삼태리 246,60700
11,4421010500103800006,4421010500,전,24.0,"POLYGON ((153917.57529153518 466214.83585785865, 153921.28134247978 466209.61895469506, 153913.00841256877 466209.1908320556, 153917.57529153518 466214.83585785865))",충청남도 서산시 잠홍동 380-6,126600
12,4482535024102730000,4482535024,전,152.0,"POLYGON ((129794.59757555167 475513.26709760586, 129793.73363300221 475509.91311134415, 129784.80064615428 475513.7309460743, 129779.30667307475 475514.83085439325, 129774.55468954679 475516.2337714892, 129765.6416343121 475524.5735704211, 129771.61556910937 475525.7586511004, 129776.78856347119 475523.41674785316, 129794.59757555167 475513.26709760586))",충청남도 태안군 원북면 방갈리 273,11200
13,4480025627106350046,4480025627,전,334.0,"POLYGON ((172933.9987937829 450922.82342932664, 172904.90213057335 450914.9350438176, 172877.7813683229 450912.5676471401, 172877.4062302978 450921.7835723481, 172891.60813097222 450921.37579241564, 172911.48295861558 450922.98808403296, 172933.9987937829 450922.82342932664))",충청남도 홍성군 홍북읍 석택리 635-46,62000
14,4420010300100220034,4420010300,전,115.0,"POLYGON ((198613.48283426274 464520.66619938065, 198613.72081382442 464521.8651941711, 198629.2907325302 464519.711452806, 198637.0786937472 464518.5135830685, 198641.14867646853 464517.6956525729, 198646.67668414823 464514.5857618415, 198651.0726769295 464512.96784237446, 198648.5567296426 464510.7758194711, 198641.6337409482 464513.32769261417, 198613.48283426274 464520.66619938065))",충청남도 아산시 방축동 22-34,192800
15,4420040028102400002,4420040028,전,807.0,"POLYGON ((192800.4415077845 457707.0534991666, 192781.84080601245 457696.6352883413, 192774.65079114455 457701.0111445061, 192759.69678958136 457708.2168594154, 192749.1757881268 457713.3096586664, 192805.72818055196 457725.6694429467, 192803.61640979792 457711.8715126025, 192800.4415077845 457707.0534991666))",충청남도 아산시 도고면 화천리 240-2,9540
16,4481040021100940001,4481040021,답,2295.0,"POLYGON ((181393.26718625735 454045.9037221278, 181399.56315023915 454045.2148240479, 181411.03813613445 454040.60603483266, 181409.30227263126 453967.4995537378, 181380.6074715245 453968.37810611527, 181379.7443165536 454043.9395289187, 181385.46025390428 454045.2626069098, 181393.26718625735 454045.9037221278))",충청남도 예산군 오가면 역탑리 94-1,19400
17,4476036030100140000,4476036030,답,129.0,"POLYGON ((181133.03391073406 405134.21889426536, 181138.26576480377 405141.48492171615, 181139.7958024531 405138.27096741943, 181140.52487286637 405133.2520138071, 181139.62194514676 405128.86803115555, 181136.93408634834 405120.73304811644, 181133.48218613706 405115.7060316501, 181130.95818190748 405117.16098340374, 181133.03391073406 405134.21889426536))",충청남도 부여군 홍산면 무정리 14,9090
18,4471035028100570000,4471035028,답,764.0,"POLYGON ((245904.62849656362 380304.11332805257, 245921.64835779398 380306.0835780677, 245931.5284709515 380294.6738038567, 245935.70872981066 380276.17398722563, 245910.93895726788 380271.65363398916, 245906.60869875396 380290.1934480466, 245904.62849656362 380304.11332805257))",충청남도 금산군 남일면 음대리 57,22700
19,4476031030101690001,4476031030,전,383.0,"POLYGON ((190114.2435755948 411260.3583485619, 190107.1557830148 411249.9453144943, 190104.92886351483 411245.66231091984, 190103.97088776575 411244.50430455606, 190098.91099913642 411239.4912631726, 190095.7871044029 411233.9882545979, 190087.9943019455 411224.5512029606, 190086.84434617453 411222.16420235013, 190077.18732913336 411227.74001662247, 190084.41421139773 411232.17409494065, 190087.57012034158 411236.7251107141, 190094.98385620458 411250.72912440996, 190099.11673538055 411256.7931443262, 190102.51770069165 411257.51319081965, 190109.02963760294 411258.6722813888, 190114.2435755948 411260.3583485619))",충청남도 부여군 규암면 오수리 169-1,55800
20,4423025324102750000,4423025324,답,3121.0,"POLYGON ((210688.82751307992 392050.460371003, 210680.1035286801 392053.27421930607, 210675.14550620603 392056.9341191787, 210671.92150235857 392058.60605885094, 210668.94743889384 392064.0879765961, 210669.26635659358 392069.3589458532, 210668.50029328346 392073.8589038118, 210668.81120766175 392079.3518714482, 210666.7521310427 392085.295799989, 210664.83404230588 392091.97472571087, 210663.14699419288 392095.88067367225, 210666.30096153414 392096.63971652207, 210677.50080325693 392102.1168498945, 210685.44570439935 392105.1199504606, 210696.45052605873 392112.00207138085, 210701.1134342035 392115.9891153857, 210714.39419948557 392125.57625265885, 210719.3131070875 392129.4863010774, 210719.2362323478 392121.28435529536, 210718.4044813723 392105.2774507359, 210719.65462523693 392095.2685373408, 210720.9928494668 392079.93666122534, 210723.7029298484 392073.4587461926, 210727.72600422782 392066.79785236507, 210726.8280877887 392061.6988731374, 210722.7901623784 392058.57183283265, 210713.86527956376 392054.79472258035, 210703.92640501334 392050.9205975615, 210697.52848341188 392048.5815160393, 210688.82751307992 392050.460371003))",충청남도 논산시 연무읍 동산리 275,17400
21,4427010800102400002,4427010800,전,2483.0,"POLYGON ((165179.53089153074 476200.7778348272, 165179.76876419358 476208.93677523144, 165183.5486911101 476211.7978112019, 165189.8295789586 476215.9478756525, 165199.75140614354 476222.22097965487, 165202.95741132996 476220.28104401694, 165206.26046136304 476215.37713285215, 165206.35146243082 476215.2621351448, 165210.95751603929 476209.47425087594, 165218.3795808663 476201.5494265008, 165231.27063013392 476191.9016996166, 165235.8946430414 476188.75079518044, 165236.6426435641 476188.342809851, 165239.08281507148 476175.97394327796, 165246.56890755903 476166.21913407044, 165241.00494688883 476166.4440467289, 165235.65203071394 476163.67098587647, 165231.11212636216 476159.72294664016, 165227.30120263784 476156.6699116798, 165223.56522094135 476157.34784894914, 165218.98025666364 476157.31777864794, 165209.10431234844 476158.63561650005, 165197.40437590616 476160.35342319234, 165189.0603873496 476163.78126825555, 165188.99032523518 476167.8542356023, 165190.50425353745 476171.75822862476, 165188.24008189928 476184.0480985141, 165188.54496501185 476191.4940454756, 165185.12290531342 476197.0859494783, 165181.1608867165 476200.2758637987, 165179.53089153074 476200.7778348272))",충청남도 당진시 행정동 240-2,67100
