,Unnamed: 0,고유번호,건물식별번호,허가일자,사용승인일자,geometry,주소
113520,113520,4418010800107070001,7953,,2004-07-09,"POLYGON ((160409.61687334417 415362.14385203144, 160408.89698328494 415355.13289231673, 160398.96703240252 415356.643732956, 160399.306929106 415363.3936888943, 160409.61687334417 415362.14385203144))",충청남도 보령시 남곡동 707-1
408668,408668,4482531023103250004,11570,,1999-04-29,"POLYGON ((148624.12268649647 422538.2032229854, 148617.03272511665 422539.1131106439, 148615.9026816096 422542.59306800173, 148623.2425765174 422546.02315187326, 148626.63350554774 422549.1131794542, 148634.68352121816 422544.08333665354, 148624.12268649647 422538.2032229854))",충청남도 태안군 고남면 고남리 325-4
393599,393599,4481025024101880006,33545,1976-08-02,1981-09-30,"POLYGON ((185071.18909904006 454169.61239270575, 185069.73897390417 454178.43230474845, 185080.30987510065 454179.78245752305, 185081.69896850048 454173.05252899224, 185075.02903204918 454172.1224331757, 185075.2790531499 454170.6324481112, 185071.18909904006 454169.61239270575))",충청남도 예산군 예산읍 주교리 188-6
394081,394081,4481032031103280000,3436,,,"POLYGON ((186709.5998105616 443193.90468420857, 186706.60990750318 443189.0046742896, 186696.77987562268 443195.74547398824, 186699.08979636687 443199.8154795626, 186709.5998105616 443193.90468420857))",충청남도 예산군 신양면 죽천리 328
253851,253851,4427010100100300018,8584,1990-05-07,1991-08-27,"POLYGON ((167582.02086169904 477521.1726094071, 167584.2948986903 477517.63867184054, 167579.67198308013 477514.46962512686, 167578.36796456482 477516.32059068437, 167575.7090132927 477514.4855639125, 167575.33701590658 477514.5015580545, 167573.30597963434 477517.86750066775, 167572.6119926777 477517.367493844, 167570.48196067798 477520.5054367011, 167572.11992587888 477521.9464507881, 167570.049895411 477524.95539556653, 167571.8328594915 477526.39641188807, 167571.26484895273 477527.36339564226, 167576.69575450337 477530.78245287493, 167577.15174726758 477531.0244580279, 167577.31274615382 477531.01646057446, 167577.59374434885 477530.9934650832, 167578.10974110608 477530.9464734015, 167578.8317375779 477530.8154855467, 167579.3037387741 477530.50249524455, 167579.67375175937 477529.47550890583, 167579.61776789126 477528.4565159371, 167583.41483438172 477522.249622553, 167582.02086169904 477521.1726094071))",충청남도 당진시 읍내동 30-18
417900,417900,4482525033104080000,6195,,1998-01-24,"POLYGON ((136411.48729439452 463994.4520214088, 136411.28729896148 463994.25201996556, 136411.08729750477 463994.4520153822, 136411.28729293583 463994.65201682725, 136411.48729439452 463994.4520214088))",충청남도 태안군 태안읍 삭선리 408
407390,407390,4482535028106830021,100249356,2021-06-17,2021-10-28,"POLYGON ((131415.90909745736 464470.75410582125, 131414.69687169066 464486.4079642232, 131421.87580721144 464486.9630677386, 131422.1918661734 464482.8751047085, 131423.28885631886 464482.96012052475, 131423.6899310873 464477.77616741054, 131422.19394452777 464477.66014584224, 131422.37997903524 464475.2671674964, 131423.2769709678 464475.3371804266, 131423.5860284993 464471.3482165106, 131415.90909745736 464470.75410582125))",충청남도 태안군 원북면 장대리 683-21
306469,306469,4476025031104990007,5245,1987-03-31,1987-06-05,"POLYGON ((192862.03305476467 409701.64999407576, 192853.22619862508 409696.20789861865, 192848.34613657763 409702.53478015825, 192858.83995690773 409709.56289008475, 192862.62300408853 409704.7189814898, 192860.97503640584 409703.3449661209, 192862.03305476467 409701.64999407576))",충청남도 부여군 부여읍 쌍북리 499-7
137485,137485,4420037025103860006,31842,,2002-05-23,"POLYGON ((194898.9773602047 475550.8955728621, 194892.9065615913 475540.9155533865, 194882.90654043524 475547.0653507052, 194890.20733326703 475556.8253910586, 194898.9773602047 475550.8955728621))",충청남도 아산시 영인면 신운리 386-6
26703,26703,4413111400103990023,61148,1990-11-08,1991-04-16,"POLYGON ((212959.50843996095 466764.20509577927, 212959.39848020568 466761.69511252875, 212954.3685142637 466761.86503223155, 212954.35854105023 466760.1650445899, 212948.59858169578 466760.25495340984, 212948.90940390932 466771.42487605603, 212954.5783606271 466771.54496426106, 212954.65937543206 466770.56497274956, 212960.7393344916 466770.3450699168, 212960.41843253188 466764.2551097097, 212959.50843996095 466764.20509577927))",충청남도 천안시 동남구 다가동 399-23
293294,293294,4476036024101030003,19569,,,"POLYGON ((178220.5753844885 401732.0281308951, 178223.0854935384 401723.5882280274, 178226.53546088294 401724.15827575995, 178226.12635934725 401731.11822057515, 178237.78627157406 401731.53839251667, 178242.78544932394 401717.35856743087, 178240.3854735925 401716.85853495443, 178240.97566025355 401704.13863344694, 178220.3857615314 401706.97830458556, 178205.5754564472 401734.2188904565, 178220.06627990407 401739.23807245, 178221.46536867158 401732.6681397364, 178220.5753844885 401732.0281308951))",충청남도 부여군 홍산면 남촌리 103-3
42961,42961,4413325623101230001,24481,,,"POLYGON ((215683.08401842628 476693.0115968269, 215678.6910641992 476692.16253371496, 215677.05495484557 476699.8464507948, 215687.7918359184 476702.367601736, 215689.24892956068 476695.7616738213, 215682.92700235717 476694.1015862498, 215683.08401842628 476693.0115968269))",충청남도 천안시 서북구 직산읍 남산리 123-1
298307,298307,4476040030101990000,25841,1992-05-27,1993-01-09,"POLYGON ((186654.42598508828 391470.0042443628, 186671.02274572008 391478.3864354985, 186676.23086502234 391468.0575849592, 186659.6401042885 391459.67939388927, 186654.42598508828 391470.0042443628))",충청남도 부여군 양화면 벽용리 199
175294,175294,4421010700107350006,33712,1994-07-29,1994-10-28,"POLYGON ((151378.6035944268 463926.573968879, 151380.22260750626 463924.89400648006, 151380.86259438883 463925.4340120206, 151385.5426450084 463919.73412724247, 151378.95278827767 463913.63407438376, 151371.05269010155 463924.0938733945, 151372.60260179586 463929.1238579848, 151375.41357549548 463929.43389828084, 151378.6035944268 463926.573968879))",충청남도 서산시 석림동 735-6
22885,22885,4413131021103690002,51313,,2003-08-18,"POLYGON ((210695.9152896991 457872.04981556477, 210695.05031224136 457871.0088096402, 210694.35732501757 457870.5128024258, 210693.64433540698 457870.17879371555, 210690.52234249274 457871.171737638, 210689.9983673495 457869.82473928225, 210687.37837245842 457870.7116918317, 210687.58135996366 457871.41668985714, 210683.7313694165 457872.5956210381, 210683.36736914504 457872.7816139854, 210683.05136503896 457873.19060605625, 210682.9173558611 457873.8395992216, 210686.04915982287 457884.9255672305, 210686.31615194873 457885.3055686292, 210686.7451448382 457885.5615734692, 210687.2131402741 457885.6365802391, 210698.0761065574 457882.76077112864, 210698.33311138747 457882.3327782736, 210698.46611994843 457881.72378480306, 210698.48112773546 457881.2187887251, 210695.9152896991 457872.04981556477))",충청남도 천안시 동남구 풍세면 풍서리 369-2
262719,262719,4471033025102980001,17404,,,"POLYGON ((250657.19835053282 385660.2054008072, 250664.89824774058 385663.66549793375, 250670.0183913606 385652.2956505581, 250662.2984978484 385648.60555460176, 250660.31843807167 385653.27549382055, 250659.5884439722 385653.19548301597, 250658.5084124113 385655.67545029626, 250658.9284086467 385655.7454563559, 250657.19835053282 385660.2054008072))",충청남도 금산군 부리면 양곡리 298-1
349205,349205,4480032021105600002,100238672,2016-07-26,2017-02-17,"POLYGON ((177923.21867594108 443665.4217020057, 177919.80467221024 443667.30663590267, 177918.7407094327 443665.38063390175, 177914.23270448862 443667.87054660567, 177915.3936638729 443669.9715487966, 177911.1916592608 443672.29246743047, 177914.7445348967 443678.726474104, 177918.9695387133 443676.4465555182, 177919.7685107413 443677.89355702035, 177927.08851877198 443673.8506987606, 177927.24753494447 443672.71570958814, 177923.21867594108 443665.4217020057))",충청남도 홍성군 금마면 월암리 560-2
239916,239916,4427034021102760001,28105,,,"POLYGON ((161516.3880024873 476063.2296006987, 161519.16925724832 476045.2407832666, 161508.6573616554 476043.72263365076, 161503.6389404252 476073.6773236933, 161514.48782931198 476075.4624764104, 161516.3880024873 476063.2296006987))",충청남도 당진시 정미면 천의리 276-1
261385,261385,4471032030100400000,15525,,,"POLYGON ((251155.4527314337 389811.406335296, 251150.7119381828 389800.05633508693, 251144.78193194213 389802.90622449765, 251149.5617306922 389813.88622770744, 251155.4527314337 389811.406335296))",충청남도 금산군 제원면 저곡리 40
83595,83595,4415038032102500002,38645,2007-07-26,2007-11-28,"POLYGON ((210011.39141511975 433427.304274778, 210011.24038178998 433429.52725664794, 210008.96288121925 433462.9159841781, 210005.82990666974 433462.69793724676, 210005.35280288223 433469.62288065965, 210015.47172067873 433470.3280322377, 210018.37535626 433427.9283784162, 210011.39141511975 433427.304274778))",충청남도 공주시 우성면 귀산리 250-2
127854,127854,4420025321101340003,17113,,1989-06-30,"POLYGON ((204308.41601866877 460031.58720972145, 204282.30627034864 460027.67583121004, 204280.57211521224 460038.4337249445, 204306.77586397788 460042.27210546134, 204308.41601866877 460031.58720972145))",충청남도 아산시 배방읍 중리 134-3
